Condition,Value Range,Plan,Morning Meal,Midday Meal,Night Meal,Calories,Protein (g),Carbohydrates (g),Fats (g),Fiber (g)
Blood Pressure,80-90,1,Idli with sambar and coconut chutney,Rajma with brown rice and cucumber salad,Grilled fish with a side of steamed spinach and whole wheat roti,1500,55,220,45,30
Blood Pressure,80-90,2,Masala dosa with sambar and chutney,Mixed vegetable curry with brown rice and raita,Paneer curry with a side of whole wheat roti and salad,1600,60,200,50,35
Blood Pressure,80-90,3,Poha with vegetables and a side of fruit,Chickpea curry with brown rice and a side of mixed vegetable salad,Grilled chicken with a side of steamed broccoli and quinoa,1550,50,210,48,32
Blood Pressure,80-90,4,Vegetable upma with a glass of buttermilk,Chana masala with brown rice and kachumber salad,Grilled fish with a side of sautéed spinach and whole wheat roti,1580,53,205,46,33
Blood Pressure,80-90,5,Whole wheat pancakes with honey and fresh fruit,Baingan bharta with brown rice and mixed salad,Paneer tikka with roasted vegetables and brown rice,1620,55,215,50,34
Blood Pressure,80-90,6,Moong dal chilla with mint chutney,Vegetable pulao with cucumber raita,Grilled chicken with a side of roasted vegetables and quinoa,1500,56,210,48,31
Blood Pressure,80-90,7,Oats porridge with fresh fruits,Rajma curry with brown rice and kachumber salad,Grilled fish with a side of steamed broccoli and quinoa,1550,52,205,47,32
Blood Pressure,80-90,8,Ragi porridge with nuts and fresh fruit,Mixed dal (lentil) curry with brown rice and a side of mixed vegetable salad,Grilled chicken with a side of steamed broccoli and quinoa,1600,54,215,50,33
Blood Pressure,80-90,9,Methi thepla with curd and pickle,Vegetable pulao with cucumber raita,Grilled shrimp with a side of steamed broccoli and quinoa,1500,55,220,45,35
Blood Pressure,90-100,1,Oatmeal with fresh berries and a sprinkle of nuts,Grilled chicken salad with mixed greens, cherry tomatoes  and a light vinaigrette Baked salmon with steamed broccoli and quinoa,1500,60,200,50,30
Blood Pressure,90-100,2,Whole grain toast with avocado and a poached egg,Turkey and vegetable wrap with whole wheat tortilla,Stir-fried tofu with mixed vegetables and brown rice,1600,65,210,55,32
Blood Pressure,90-100,3,Vegetable omelette with spinach and mushrooms,Lentil soup with a side of mixed greens,Grilled fish with a side of sautéed spinach and brown rice,1550,58,215,53,34
Blood Pressure,90-100,4,Greek yogurt with granola and a handful of berries,Chickpea salad with a lemon vinaigrette,Roasted chicken with a side of steamed vegetables and quinoa,1520,62,205,48,31
Blood Pressure,90-100,5,Whole grain cereal with almond milk and banana slices,Mixed vegetable curry with brown rice,Paneer tikka with roasted vegetables and whole wheat roti,1620,60,220,55,36
Blood Pressure,100-110,1,Vegetable omelette with spinach and mushrooms,Grilled chicken salad with mixed greens, cherry tomatoes  and a light vinaigrette Baked salmon with steamed broccoli and quinoa,1500,60,200,50,30
Blood Pressure,100-110,2,Whole grain toast with avocado and a poached egg,Lentil soup with a side of mixed greens,Grilled fish with a side of sautéed spinach and brown rice,1600,65,210,55,32
Blood Pressure,100-110,3,Oatmeal with fresh berries and a sprinkle of nuts,Chickpea salad with a lemon vinaigrette,Roasted chicken with a side of steamed vegetables and quinoa,1550,58,215,53,34
Blood Pressure,100-110,4,Greek yogurt with granola and a handful of berries,Mixed vegetable curry with brown rice,Paneer tikka with roasted vegetables and whole wheat roti,1520,62,205,48,31
Blood Pressure,100-110,5,Whole grain cereal with almond milk and banana slices,Grilled tofu wrap with mixed vegetables and hummus,Turkey breast with a side of roasted sweet potatoes and green beans,1620,60,220,55,36
Blood Pressure,120-140,1,Oats porridge with fresh fruits and nuts,Mixed vegetable curry with brown rice and a side of cucumber salad,Grilled chicken with a side of steamed broccoli and quinoa,1500,60,200,50,30
Blood Pressure,120-140,2,Multigrain toast with avocado and a boiled egg,Lentil soup with a side of whole grain bread,Baked fish with a side of sautéed spinach and brown rice,1600,65,210,55,32
Blood Pressure,120-140,3,Poha with peas and carrots,Chickpea curry with brown rice and a mixed vegetable salad,Paneer tikka with a side of roasted vegetables and whole wheat roti,1550,58,215,53,34
Blood Pressure,120-140,4,Idli with sambar and coconut chutney,Vegetable biryani with raita,Grilled fish with a side of steamed spinach and whole wheat roti,1520,62,205,48,31
Blood Pressure,140-160,2,Whole grain toast with avocado and a poached egg,Lentil soup with a side of mixed greens,Grilled fish with a side of sautéed spinach and brown rice,1600,65,210,55,32
Blood Pressure,140-160,3,Oatmeal with fresh berries and a sprinkle of nuts,Chickpea salad with a lemon vinaigrette,Roasted chicken with a side of steamed vegetables and quinoa,1550,58,215,53,34
Blood Pressure,140-160,4,Greek yogurt with granola and a handful of berries,Mixed vegetable curry with brown rice,Paneer tikka with roasted vegetables and whole wheat roti,1520,62,205,48,31
Blood Pressure,140-160,5,Whole grain cereal with almond milk and banana slices,Grilled tofu wrap with mixed vegetables and hummus,Turkey breast with a side of roasted sweet potatoes and green beans,1620,60,220,55,36
Blood Pressure,140-160,6,Smoothie with spinach, banana Lentil and vegetable stew with a side of quinoa, Baked cod with a side of steamed broccoli and brown rice and chia seeds,1480,57,200,50,35
Blood Pressure,160-180,2,Whole grain toast with avocado and a poached egg,Lentil soup with a side of mixed greens,Grilled fish with a side of sautéed spinach and brown rice,1600,65,210,55,
Blood Pressure,160-180,3,Oatmeal with fresh berries and a sprinkle of nuts,Chickpea salad with a lemon vinaigrette,Roasted chicken with a side of steamed vegetables and quinoa,1550,58,215,53,32
Blood Pressure,160-180,4,Greek yogurt with granola and a handful of berries,Mixed vegetable curry with brown rice,Paneer tikka with roasted vegetables and whole wheat roti,1520,62,205,48,34
Blood Pressure,160-180,5,Whole grain cereal with almond milk and banana slices,Grilled tofu wrap with mixed vegetables and hummus,Turkey breast with a side of roasted sweet potatoes and green beans,1620,60,220,55,31
